stream,equity,open_positions,recorded_at
news,33333.0,4,2026-03-19 15:23:36
news,33333.0,4,2026-03-19 15:23:36
news,33333.0,4,2026-03-19 15:25:44
news,33333.0,4,2026-03-19 15:28:54
news,33333.0,4,2026-03-19 15:34:56
news,33333.0,5,2026-03-19 15:49:18
news,33333.0,5,2026-03-19 15:49:53
strategy,33333.0,0,2026-03-19 15:23:36
strategy,33333.0,4,2026-03-19 15:25:44
strategy,33333.0,4,2026-03-19 15:25:44
strategy,33333.0,4,2026-03-19 15:28:54
strategy,33333.0,4,2026-03-19 15:34:56
strategy,33333.0,5,2026-03-19 15:49:36
strategy,33333.0,5,2026-03-19 15:49:53
