id,stream,instrument,direction,entry_price,stop_loss,take_profit,position_size,opened_at
20,hybrid:All-equal-majority,XAU_USD,short,4583.96,4669.020714285714,4456.368928571428,4.0,2026-03-19 15:49:51
19,strategy,XAU_USD,short,4568.530000000001,4653.9967857142865,4440.329821428571,4.0,2026-03-19 15:49:23
18,news,BCO_USD,short,99.77699999999999,102.47555357142856,95.72916964285713,124.0,2026-03-19 15:49:16
17,news,XAU_USD,long,4582.56,4497.499285714286,4710.151071428572,4.0,2026-03-19 15:49:13
15,hybrid:All-equal-majority,XAU_USD,short,4578.18,4660.744285714286,4454.333571428571,4.0,2026-03-19 15:34:52
14,strategy,XAU_USD,short,4608.52,4691.084285714286,4484.673571428571,4.0,2026-03-19 15:25:39
13,strategy,USD_CHF,long,0.7907500000000001,0.7882176785714287,0.7945484821428572,131630.0,2026-03-19 15:25:34
12,strategy,USD_JPY,long,158.394,157.9869642857143,159.00455357142857,819.0,2026-03-19 15:25:33
11,strategy,XAU_USD,short,4612.92,4695.484285714286,4489.073571428571,4.0,2026-03-19 15:25:31
10,news,EUR_USD,short,1.151605,1.154877142857143,1.1466967857142856,101869.0,2026-03-19 15:23:36
8,news,XAU_USD,long,4608.27,4525.705714285715,4732.116428571429,4.0,2026-03-19 15:23:30
7,news,GBP_USD,short,1.33688,1.340845892857143,1.3309311607142857,84049.0,2026-03-19 15:23:27
